data,lançamentos,valor (R$),saldo (R$)
2025-01-01,PIX TRANSF,-89.98,910.02
2025-01-02,SALARIO RECEBIDO,5000.0,5910.02
2025-01-03,PAY SUPERMERCADO,-11.8,5898.22
2025-01-04,PIX TRANSF,-19.49,5878.7300000000005
2025-01-05,PAY FARMA,-169.35,5709.38
2025-01-06,SALARIO RECEBIDO,5000.0,10709.380000000001
2025-01-07,SALARIO RECEBIDO,5000.0,15709.380000000001
2025-01-08,PAY ESTAC,-54.24,15655.140000000001
2025-01-09,PAY ESTAC,-105.32,15549.820000000002
2025-01-10,PAY SUPERMERCADO,-191.84,15357.980000000001
2025-01-11,PIX TRANSF,-76.66,15281.320000000002
2025-01-12,SALARIO RECEBIDO,5000.0,20281.32
2025-01-13,PAY FARMA,-97.92,20183.4
2025-01-14,PAY SUPERMERCADO,-182.27,20001.13
2025-01-15,PAY SUPERMERCADO,-61.91,19939.22
2025-01-16,SALARIO RECEBIDO,5000.0,24939.22
2025-01-17,PAY ESTAC,-105.96,24833.260000000002
2025-01-18,PAY FARMA,-126.97,24706.29
2025-01-19,PAY ESTAC,-96.63,24609.66
2025-01-20,SALARIO RECEBIDO,5000.0,29609.66
2025-01-21,PAY FARMA,-36.39,29573.27
2025-01-22,PAY POSTO COMBUSTIVEL,-158.5,29414.77
2025-01-23,PAY SUPERMERCADO,-34.01,29380.760000000002
2025-01-24,PIX TRANSF,-84.17,29296.590000000004
2025-01-25,PAY ESTAC,-172.12,29124.470000000005
2025-01-26,PAY POSTO COMBUSTIVEL,-75.29,29049.180000000004
2025-01-27,PAY ESTAC,-33.81,29015.370000000003
2025-01-28,PAY SUPERMERCADO,-81.36,28934.010000000002
2025-01-29,SALARIO RECEBIDO,5000.0,33934.01
2025-01-30,PAY SUPERMERCADO,-71.78,33862.23
2025-01-31,PAY POSTO COMBUSTIVEL,-124.02,33738.21000000001
2025-02-01,SALARIO RECEBIDO,5000.0,38738.21000000001
2025-02-02,PAY ESTAC,-114.81,38623.40000000001
2025-02-03,PAY FARMA,-56.73,38566.670000000006
2025-02-04,PIX TRANSF,-199.91,38366.76
2025-02-05,PAY POSTO COMBUSTIVEL,-64.52,38302.240000000005
2025-02-06,PIX TRANSF,-132.06,38170.18000000001
2025-02-07,PIX TRANSF,-193.12,37977.060000000005
2025-02-08,PAY ESTAC,-71.75,37905.310000000005
2025-02-09,PAY SUPERMERCADO,-48.9,37856.41
2025-02-10,PAY FARMA,-71.82,37784.590000000004
